id,gh.tray,species,site,has.assigned.cg.spot?,notes,,,,
VIBCAS03_GR,4,VIBCAS,GR,no,,,,,
VIBCAS10_GR,5,VIBCAS,GR,no,,,,,
VIBCAS01_SH,5,VIBCAS,SH,no,,,,,
VIBCAS09_SH,5,VIBCAS,SH,no,,,,,
VACMYR05_WM,NA,VACMYR,WM,no_anewspecies,,,,,
VACMYR05_WM,NA,VACMYR,WM,no_anewspecies,,,,,
VACMYR10_GR,NA,VACMYR,GR,no_anewspecies,,,,,
VACMYR10_GR,NA,VACMYR,GR,no_anewspecies,,,,,
QUERUB_HF,NA,QUERUB,HF,no_anewspecies,,,,,
QUERUB_HF,NA,QUERUB,HF,no_anewspecies,,,,,
QUERUB09_WM,NA,QUERUB,WM,no_anewspecies,,,,,
QUERUB09_WM,NA,QUERUB,WM,no_anewspecies,,,,,
ACEPEN05_WM,4,ACEPEN,WM,yes,replace dead one in plot 9,,,,
ACEPEN05_WM,4,ACEPEN,WM,yes,replace dead one in plot 9,,,,
ACEPEN05_WM,NA,ACEPEN,WM,yes,replace dead one in plot 6 (I would add an extra one but we do not have it),,,,
