ID,Number,Notes,Used,Plot,Sub,Location
BETPOP,1,for robert,,,,
BETPOP01.HF,4,,,,,
BETPOP01.HF,2,,,,,
BETPOP03.HF,4,,,,,
BETPOP03.HF,1,,,,,
BETPOP04.HF,3,,,,,
BETPOP05.GR,12,,,,,
BETPOP05.HF,3,,,,,
BETPOP05.HF,2,,,,,
BETPOP05.HF,1,,,,,
BETPOP06.GR,10,,1 CHECK,Plot3,BETPOP08.GR,GH09 T4R3
BETPOP07.WM,12,,1 CHECK,Plot3,BETPOP03.WM,GH07 T2R3
BETPOP08.WM,10,,1 CHECK,Plot3,BETPOP09.WM,GH07 T4R2
CORCOR05.WM,1,,1 CHECK,Plot4,CORCOR04.WM,GH07 T3R3
CORCOR06.WM,2,,,,,
DIELON01.HF,10,,,,,
DIELON01.HF,2,,,,,
DIELON01.SH,7,,,,,
DIELON01.SH,1,,,,,
DIELON02.HF,9,,,,,
DIELON02.SH,10,,,,,
DIELON02.SH,2,,,,,
DIELON03.HF,1,,,,,
DIELON04.GR,7,,,,,
DIELON04.SH,4,,,,,
DIELON04.SH,4,,,,,
DIELON05.GR,9,,,,,
DIELON06.GR,14,,,,,
DIELON08.GR,7,,,,,
HAMVIR12.HF,2,,,,,
ILEMUC04.SH,2,,2 CHECK,Plot4,"ILEMUC04.SH, IELMUC07.SH",GH09 T4R1
ILEMUC05.WM,3,,1 CHECK,Plot4,ILEMUC02.WM,GH09 T4R1
ILEMUC06.WM,11,,1 CHECK,Plot4,ILEMUC06.WM,GH09 T3R2
ILEMUC07.WM,3,,1 CHECK,Plot4,ILEMUC09.WM,GH09 T4R3
KALANG14.HF,1,,,,,
LONCAN05.GR,12,,,,,
LONCAN07.GR,1,,1 Check,Plot4,LONCAN07.GR,GH07 T2R1
LONCAN08.GR,5,,,,,
MYRGAL01.SH,3,,,,,
MYRGAL01.WM,2,,1 CHECK,Plot4,MYRGAL01.WM,GH07 T2R3
MYRGAL02.SH,6,,1 CHECK,Plot4,MYRGAL08.SH,RB02
MYRGAL04.WM,1,,,,,
MYRGAL06.WM,8,,,,,
MYRGAL07.GR,1,,1 CHECK,Plot4,MYRGAL04.GR,GH07 T2R3
MYRGAL08.GR,4,,1 CHECK,Plot4,MYRGAL08.GR,GH07 T3R1
MYRGAL99.SH,8,,,,,
PRUPEN02.SH,1,,,,,
PRUPEN02.WM,1,,,,,
PRUPEN03.WM,1,,,,,
PRUPEN05.SH,2,,,,,
PRUPEN08.SH,7,,,,,
PRUPEN11.GR,1,,1 CHECK,Plot2,PRUPEN04.GR,GH07 T2R3
PRUPEN12.SH,2,,,,,
QUEALB04.HF,3,,,,,
QUERUB.HF,1,,,,,
QUERUB.HF,1,climbing tree course,,,,
QUERUB09.HF,2,,,,,
RHOPRI05.WM,1,,,,,
SAMRAC.HF,7,,,,,
SAMRAC01.GR,3,,,,,
SAMRAC02.GR,8,,,,,
SAMRAC04.GR,5,,,,,
SAMRAC07.GR,10,,,,,
SAMRAC08.GR,10,,,,,
SAMRAC09.GR,20,,,,,
SORAME01.SH,5,,,,,
SORAME01.SH,5,,,,,
SORAME03.SH,9,,,,,
SORAME08.GR,1,,,,,
SORAME09.GR,16,,,,,
SORAME09.SH,1,,,,,
SORAME99.SH,8,,,,,
SPIALB01.HF,2,,,,,
SPIALB01.SH,9,,,,,
SPIALB02.HF,3,,,,,
SPIALB03.GR,5,,,,,
SPIALB03.HF,3,,,,,
SPIALB04.HF,5,,,,,
SPIALB04.HF,2,,,,,
SPIALB04.SH,13,,1 CHECK,Plot4,SPIALB03.SH,GH07 T4R3 & T3R1&2
SPIALB05.GR,11,,1 CHECK,Plot4,SPIALB05.GR,GH09 T3R2
SPIALB06.GR,15,,,,,
SPIALB07.SH,5,,,,,
SPIALB07.WM,5,,,,,
SPIALB08.GR,11,,,,,
SPIALB08.HF,2,,,,,
SPIALB08.SH,3,,,,,
SPIALB09.GR,10,,,,,
SPIALB09.HF,2,,,,,
SPIALB09.SH,5,,,,,
SPIALB10.HF,3,,,,,
SPIALB11.HF,3,,,,,
SPIALB12.GR,5,,,,,
SPIALB12.HF,3,,,,,
SPIALB13.HF,2,,,,,
SPITOM01.WM,5,,,,,
SPITOM02.GR,7,,3 CHECK,Plot4,"SPITOM09.GR & SPITOM05.GR, SPITOM02.GR",GH09 T3R1
SPITOM02.SH,3,,,,,
SPITOM02.WM,5,,,,,
SPITOM03.HF,4,,,,,
SPITOM03.WM,8,,,,,
SPITOM04.HF,4,,,,,
SPITOM04.WM,15,,,,,
SPITOM05.HF,5,,,,,
SPITOM05.WM,35,,,,,
SPITOM06.HF,4,,1 CHECK,Plot4,SPITOM06.HF,RB01
SPITOM06.WM,13,,1 CHECK,Plot4,SPITOM07.WM,GH07 T4R2&3 & T3R1
SPITOM09.HF,4,,,,,
SPITOM13.HF,4,,,,,
SPITOM99.SH,11,,1 CHECK,Plot4,SPITOM07.SH,GH07 T3R1&3
VACMYR01.WM,11,,,,,
VACMYR05.WM,10,,,,,
VACMYR08.GR,9,,,,,
VACMYR10.GR,9,,,,,
VIBCAS sow 5-3-15,2,,,,,
VIBCAS.SH,10,near 09,,,,
VIBCAS01.SH,10,,,,,
VIBCAS01.SH,9,,,,,
VIBCAS03.GR,9,,1 CHECK,Plot4,VIBCAS06.GR,GH07 T1 & TB2R1
VIBCAS04.WM,5,,,,,
VIBCAS05.SH,2,,,,,
VIBCAS05.SH,6,,,,,
VIBCAS06.WM,4,,,,,
VIBCAS07.WM,6,,,,,
VIBCAS08.GR,1,,,,,
VIBCAS08.WM,11,,1 CHECK,Plot4,VIBCAS08.WM,GH07 T2R3 & T3R1
VIBCAS09.SH,6,,,,,
VIBCAS09.WM,10,,,,,
VIBCAS10.GR,10,,,,,
VIBCAS10.SH,1,,,,,
VIBCAS10.WM,6,,,,,
VIBCAS11.GR,2,,,,,
VIBCAS12.GR,20,,,,,
VIBCAS13.GR,9,,,,,
,1110,,,,,
